glyph   name
ோ      TAMIL VOWEL SIGN OO
ం      TELUGU SIGN ANUSVARA
గ      TELUGU LETTER GA
మ      TELUGU LETTER MA
స      TELUGU LETTER SA
ు      TELUGU VOWEL SIGN U
ಂ      KANNADA SIGN ANUSVARA
ಗ      KANNADA LETTER GA
ಮ      KANNADA LETTER MA
ಸ      KANNADA LETTER SA
ು      KANNADA VOWEL SIGN U
ක      SINHALA LETTER ALPAPRAANA KAYANNA
ඹ      SINHALA LETTER AMBA BAYANNA
ළ      SINHALA LETTER MUURDHAJA LAYANNA
ො      SINHALA VOWEL SIGN KOMBUVA HAA AELA-PILLA
ข      THAI CHARACTER KHO KHAI
ค      THAI CHARACTER KHO KHWAI
ช      THAI CHARACTER CHO CHANG
ญ      THAI CHARACTER YO YING
บ      THAI CHARACTER BO BAIMAI
ภ      THAI CHARACTER PHO SAMPHAO
ว      THAI CHARACTER WO WAEN
ศ      THAI CHARACTER SO SALA
ส      THAI CHARACTER SO SUA
ห      THAI CHARACTER HO HIP
ฯ      THAI CHARACTER PAIYANNOI
ะ      THAI CHARACTER SARA A
ไ      THAI CHARACTER SARA AI MAIMALAI
ຈ      LAO LETTER CO
ນ      LAO LETTER NO
ມ      LAO LETTER MO
ລ      LAO LETTER LO LOOT
ອ      LAO LETTER O
າ      LAO VOWEL SIGN AA
ຽ      LAO SEMIVOWEL SIGN NYO
ເ      LAO VOWEL SIGN E
ཁ      TIBETAN LETTER KHA
ང      TIBETAN LETTER NGA
ཆ      TIBETAN LETTER CHA
ཇ      TIBETAN LETTER JA
ད      TIBETAN LETTER DA
པ      TIBETAN LETTER PA
ཞ      TIBETAN LETTER ZHA
འ      TIBETAN LETTER -A
ཡ      TIBETAN LETTER YA
ལ      TIBETAN LETTER LA
გ      GEORGIAN LETTER GAN
პ      GEORGIAN LETTER PAR
ღ      GEORGIAN LETTER GHAN
ც      GEORGIAN LETTER CAN
წ      GEORGIAN LETTER CIL
ხ      GEORGIAN LETTER XAN
ሌ      ETHIOPIC SYLLABLE LEE
ሐ      ETHIOPIC SYLLABLE HHA
ሕ      ETHIOPIC SYLLABLE HHE
ም      ETHIOPIC SYLLABLE ME
ሠ      ETHIOPIC SYLLABLE SZA
ሱ      ETHIOPIC SYLLABLE SU
ሳ      ETHIOPIC SYLLABLE SAA
ቃ      ETHIOPIC SYLLABLE QAA
በ      ETHIOPIC SYLLABLE BA
ባ      ETHIOPIC SYLLABLE BAA
ቤ      ETHIOPIC SYLLABLE BEE
ብ      ETHIOPIC SYLLABLE BE
ቲ      ETHIOPIC SYLLABLE TI
ታ      ETHIOPIC SYLLABLE TAA
ቶ      ETHIOPIC SYLLABLE TO
ነ      ETHIOPIC SYLLABLE NA
ኢ      ETHIOPIC SYLLABLE GLOTTAL I
ኤ      ETHIOPIC SYLLABLE GLOTTAL EE
ኦ      ETHIOPIC SYLLABLE GLOTTAL O
ኩ      ETHIOPIC SYLLABLE KU
ዋ      ETHIOPIC SYLLABLE WAA
ዑ      ETHIOPIC SYLLABLE PHARYNGEAL U
ዒ      ETHIOPIC SYLLABLE PHARYNGEAL I
የ      ETHIOPIC SYLLABLE YA
ዬ      ETHIOPIC SYLLABLE YEE
ዮ      ETHIOPIC SYLLABLE YO
ደ      ETHIOPIC SYLLABLE DA
ዲ      ETHIOPIC SYLLABLE DI
ገ      ETHIOPIC SYLLABLE GA
ጋ      ETHIOPIC SYLLABLE GAA
ጵ      ETHIOPIC SYLLABLE PHE
ጽ      ETHIOPIC SYLLABLE TSE
ፋ      ETHIOPIC SYLLABLE FAA
Ꮎ      CHEROKEE LETTER NA
Ꮟ      CHEROKEE LETTER SI
Ꮤ      CHEROKEE LETTER TA
ᐋ      CANADIAN SYLLABICS AA
ᐙ      CANADIAN SYLLABICS WAA
ᐤ      CANADIAN SYLLABICS FINAL RING
ᐯ      CANADIAN SYLLABICS PE
ᐲ      CANADIAN SYLLABICS PII
ᑌ      CANADIAN SYLLABICS TE
ᑖ      CANADIAN SYLLABICS TAA
ᑫ      CANADIAN SYLLABICS KE
ᑿ      CANADIAN SYLLABICS WEST-CREE KWA
ᒋ      CANADIAN SYLLABICS CI
ᒥ      CANADIAN SYLLABICS MI
ᒦ      CANADIAN SYLLABICS MII
ᓰ      CANADIAN SYLLABICS SII
ᔅ      CANADIAN SYLLABICS S
ᔑ      CANADIAN SYLLABICS SHI
ᔥ      CANADIAN SYLLABICS SH
ᕈ      CANADIAN SYLLABICS RO
ᕕ      CANADIAN SYLLABICS FI
ᕗ      CANADIAN SYLLABICS FO
ᕙ      CANADIAN SYLLABICS FA
ᕽ      CANADIAN SYLLABICS HK
ᕿ      CANADIAN SYLLABICS QI
ᖃ      CANADIAN SYLLABICS QA
ᖑ      CANADIAN SYLLABICS NGO
ᖕ      CANADIAN SYLLABICS NG
ᚱ      RUNIC LETTER RAIDO RAD REID R
ᚲ      RUNIC LETTER KAUNA
ᚷ      RUNIC LETTER GEBO GYFU G
ᚾ      RUNIC LETTER NAUDIZ NYD NAUD N
ᛃ      RUNIC LETTER JERAN J
ᛊ      RUNIC LETTER SOWILO S
ᛞ      RUNIC LETTER DAGAZ DAEG D
ᛣ      RUNIC LETTER CALC
ត      KHMER LETTER TA
ប      KHMER LETTER BA
ព      KHMER LETTER PO
ល      KHMER LETTER LO
ᠨ      MONGOLIAN LETTER NA
ᠲ      MONGOLIAN LETTER TA
ᠳ      MONGOLIAN LETTER DA
ᠷ      MONGOLIAN LETTER RA
ᵹ      LATIN SMALL LETTER INSULAR G
ᶞ      MODIFIER LETTER SMALL ETH
ᶢ      MODIFIER LETTER SMALL SCRIPT G
ḇ      LATIN SMALL LETTER B WITH LINE BELOW
Ḵ      LATIN CAPITAL LETTER K WITH LINE BELOW
ṇ      LATIN SMALL LETTER N WITH DOT BELOW
Ṛ      LATIN CAPITAL LETTER R WITH DOT BELOW
ṛ      LATIN SMALL LETTER R WITH DOT BELOW
Ṣ      LATIN CAPITAL LETTER S WITH DOT BELOW
Ṯ      LATIN CAPITAL LETTER T WITH LINE BELOW
ṯ      LATIN SMALL LETTER T WITH LINE BELOW
Ẓ      LATIN CAPITAL LETTER Z WITH DOT BELOW
ạ      LATIN SMALL LETTER A WITH DOT BELOW
ả      LATIN SMALL LETTER A WITH HOOK ABOVE
ẹ      LATIN SMALL LETTER E WITH DOT BELOW
ẻ      LATIN SMALL LETTER E WITH HOOK ABOVE
ỉ      LATIN SMALL LETTER I WITH HOOK ABOVE
ị      LATIN SMALL LETTER I WITH DOT BELOW
ọ      LATIN SMALL LETTER O WITH DOT BELOW
ỏ      LATIN SMALL LETTER O WITH HOOK ABOVE
ụ      LATIN SMALL LETTER U WITH DOT BELOW
ủ      LATIN SMALL LETTER U WITH HOOK ABOVE
ἁ      GREEK SMALL LETTER ALPHA WITH DASIA
ἅ      GREEK SMALL LETTER ALPHA WITH DASIA AND OXIA
ἕ      GREEK SMALL LETTER EPSILON WITH DASIA AND OXIA
Ἕ      GREEK CAPITAL LETTER EPSILON WITH DASIA AND OXIA
ἤ      GREEK SMALL LETTER ETA WITH PSILI AND OXIA
Ὄ      GREEK CAPITAL LETTER OMICRON WITH PSILI AND OXIA
ὑ      GREEK SMALL LETTER UPSILON WITH DASIA
ὔ      GREEK SMALL LETTER UPSILON WITH PSILI AND OXIA
ὖ      GREEK SMALL LETTER UPSILON WITH PSILI AND PERISPOMENI
Ὑ      GREEK CAPITAL LETTER UPSILON WITH DASIA
ὠ      GREEK SMALL LETTER OMEGA WITH PSILI
ὤ      GREEK SMALL LETTER OMEGA WITH PSILI AND OXIA
ὲ      GREEK SMALL LETTER EPSILON WITH VARIA
ὼ      GREEK SMALL LETTER OMEGA WITH VARIA
ᾄ      GREEK SMALL LETTER ALPHA WITH PSILI AND OXIA AND YPOGEGRAMMENI
ᾰ      GREEK SMALL LETTER ALPHA WITH VRACHY
ᾱ      GREEK SMALL LETTER ALPHA WITH MACRON
ᾳ      GREEK SMALL LETTER ALPHA WITH YPOGEGRAMMENI
ῇ      GREEK SMALL LETTER ETA WITH PERISPOMENI AND YPOGEGRAMMENI
Ὴ      GREEK CAPITAL LETTER ETA WITH VARIA
ῤ      GREEK SMALL LETTER RHO WITH PSILI
ῥ      GREEK SMALL LETTER RHO WITH DASIA
ῴ      GREEK SMALL LETTER OMEGA WITH OXIA AND YPOGEGRAMMENI
῾      GREEK DASIA
        HAIR SPACE
ⁿ      SUPERSCRIPT LATIN SMALL LETTER N
₢      CRUZEIRO SIGN
₧      PESETA SIGN
₿      Undefined in range Currency Symbols
№      NUMERO SIGN
ℛ      SCRIPT CAPITAL R
ℳ      SCRIPT CAPITAL M
∅      EMPTY SET
∞      INFINITY
≈      ALMOST EQUAL TO
≥      GREATER-THAN OR EQUAL TO
◌      DOTTED CIRCLE
☣      BIOHAZARD SIGN
✝      LATIN CROSS
Ⰲ      GLAGOLITIC CAPITAL LETTER VEDE
Ⰸ      GLAGOLITIC CAPITAL LETTER ZEMLJA
Ⰺ      GLAGOLITIC CAPITAL LETTER INITIAL IZHE
Ⰾ      GLAGOLITIC CAPITAL LETTER LJUDIJE
Ⱀ      GLAGOLITIC CAPITAL LETTER NASHI
Ⱁ      GLAGOLITIC CAPITAL LETTER ONU
Ⱐ      GLAGOLITIC CAPITAL LETTER YERI
Ⱑ      GLAGOLITIC CAPITAL LETTER YATI
Ⱗ      GLAGOLITIC CAPITAL LETTER IOTATED SMALL YUS
Ⲅ      COPTIC CAPITAL LETTER GAMMA
ⲅ      COPTIC SMALL LETTER GAMMA
ⲉ      COPTIC SMALL LETTER EIE
ⲓ      COPTIC SMALL LETTER IAUDA
ⲣ      COPTIC SMALL LETTER RO
ⲥ      COPTIC SMALL LETTER SIMA
ⴳ      TIFINAGH LETTER YAG
ⵃ      TIFINAGH LETTER YAHH
ⵇ      TIFINAGH LETTER YAQ
ⵢ      TIFINAGH LETTER YAY
う      HIRAGANA LETTER U
が      HIRAGANA LETTER GA
じ      HIRAGANA LETTER ZI
つ      HIRAGANA LETTER TU
て      HIRAGANA LETTER TE
と      HIRAGANA LETTER TO
な      HIRAGANA LETTER NA
に      HIRAGANA LETTER NI
は      HIRAGANA LETTER HA
ば      HIRAGANA LETTER BA
び      HIRAGANA LETTER BI
べ      HIRAGANA LETTER BE
め      HIRAGANA LETTER ME
ゆ      HIRAGANA LETTER YU
よ      HIRAGANA LETTER YO
る      HIRAGANA LETTER RU
れ      HIRAGANA LETTER RE
ァ      KATAKANA LETTER SMALL A
グ      KATAKANA LETTER GU
コ      KATAKANA LETTER KO
ゴ      KATAKANA LETTER GO
サ      KATAKANA LETTER SA
ゼ      KATAKANA LETTER ZE
ダ      KATAKANA LETTER DA
ナ      KATAKANA LETTER NA
バ      KATAKANA LETTER BA
ヒ      KATAKANA LETTER HI
ビ      KATAKANA LETTER BI
ベ      KATAKANA LETTER BE
ホ      KATAKANA LETTER HO
ム      KATAKANA LETTER MU
メ      KATAKANA LETTER ME
ャ      KATAKANA LETTER SMALL YA
ヤ      KATAKANA LETTER YA
ュ      KATAKANA LETTER SMALL YU
レ      KATAKANA LETTER RE
七      CJK character Nelson  261
与      CJK character Nelson    6
业      CJK character Nelson   20
久      CJK character Nelson  153
乌      Unknown character in range CJK Unified Ideographs
九      CJK character Nelson  146
习      Unknown character in range CJK Unified Ideographs
乡      Unknown character in range CJK Unified Ideographs
事      CJK character Nelson  272
云      CJK character Nelson  274
仕      CJK character Nelson  362
仗      CJK character Nelson  357
仙      CJK character Nelson  359
件      CJK character Nelson  368
