glyph   name
鎧      CJK character Nelson 4900
鑑      CJK character Nelson 4924
镇      Unknown character in range CJK Unified Ideographs
間      CJK character Nelson 4949
阿      CJK character Nelson 4985
陆      Unknown character in range CJK Unified Ideographs
陇      Unknown character in range CJK Unified Ideographs
限      CJK character Nelson 4987
陳      CJK character Nelson 5001
陸      CJK character Nelson 5005
陽      CJK character Nelson 5012
際      CJK character Nelson 5018
雄      CJK character Nelson 5030
青      CJK character Nelson 5076
韻      CJK character Nelson 5115
额      Unknown character in range CJK Unified Ideographs
颱      CJK character Nelson 5149
风      Unknown character in range CJK Unified Ideographs
首      CJK character Nelson 5186
驢      CJK character Nelson 5233
驴      Unknown character in range CJK Unified Ideographs
鳥      CJK character Nelson 5340
鳩      CJK character Nelson 5342
黄      CJK character Nelson 5399
黑      Unknown character in range CJK Unified Ideographs
鼠      CJK character Nelson 5417
경      HANGUL SYLLABLE GYEONG
국      HANGUL SYLLABLE GUG
나      HANGUL SYLLABLE NA
드      HANGUL SYLLABLE DEU
럴      HANGUL SYLLABLE LEOL
린      HANGUL SYLLABLE LIN
말      HANGUL SYLLABLE MAL
민      HANGUL SYLLABLE MIN
박      HANGUL SYLLABLE BAG
베      HANGUL SYLLABLE BE
서      HANGUL SYLLABLE SEO
석      HANGUL SYLLABLE SEOG
선      HANGUL SYLLABLE SEON
성      HANGUL SYLLABLE SEONG
수      HANGUL SYLLABLE SU
스      HANGUL SYLLABLE SEU
어      HANGUL SYLLABLE EO
올      HANGUL SYLLABLE OL
윤      HANGUL SYLLABLE YUN
이      HANGUL SYLLABLE I
정      HANGUL SYLLABLE JEONG
조      HANGUL SYLLABLE JO
진      HANGUL SYLLABLE JIN
창      HANGUL SYLLABLE CANG
키      HANGUL SYLLABLE KI
트      HANGUL SYLLABLE TEU
패      HANGUL SYLLABLE PAE
평      HANGUL SYLLABLE PYEONG
필      HANGUL SYLLABLE PIL
한      HANGUL SYLLABLE HAN
향      HANGUL SYLLABLE HYANG
현      HANGUL SYLLABLE HYEON
ﬁ      LATIN SMALL LIGATURE FI
ﬂ      LATIN SMALL LIGATURE FL
ﷲ      ARABIC LIGATURE ALLAH ISOLATED FORM
ﺐ      ARABIC LETTER BEH FINAL FORM
ﺣ      ARABIC LETTER HAH INITIAL FORM
ﻠ      ARABIC LETTER LAM MEDIAL FORM
𐀇      LINEAR B SYLLABLE B007 DI
𐀒      LINEAR B SYLLABLE B070 KO
𐁂      LINEAR B SYLLABLE B085 AU
𐁕      LINEAR B SYMBOL B049
𐆖      ROMAN DENARIUS SIGN
𐌱      GOTHIC LETTER BAIRKAN
𐌳      GOTHIC LETTER DAGS
𐌷      GOTHIC LETTER HAGL
𐌹      GOTHIC LETTER EIS
𐌽      GOTHIC LETTER NAUTHS
𐍄      GOTHIC LETTER TEIWS
𐎤      OLD PERSIAN SIGN KU
𐎽      OLD PERSIAN SIGN RU
𐏁      OLD PERSIAN SIGN SHA
𐡉      Character in undefined range
𐡌      Character in undefined range
𐡓      Character in undefined range
𐤄      PHOENICIAN LETTER HE
𐤑      PHOENICIAN LETTER SADE
𒀝      CUNEIFORM SIGN AK
𒃶      CUNEIFORM SIGN GAN
𒄀      CUNEIFORM SIGN GI
𒄒      CUNEIFORM SIGN GISH CROSSING GISH
𒄙      CUNEIFORM SIGN GU2 TIMES KAK
𒄠      CUNEIFORM SIGN GUD TIMES KUR
𒅖      CUNEIFORM SIGN ISH
𒅗      CUNEIFORM SIGN KA
𒆳      CUNEIFORM SIGN KUR
𒈗      CUNEIFORM SIGN LUGAL
𒈠      CUNEIFORM SIGN MA
𒈬      CUNEIFORM SIGN MU
𒉌      CUNEIFORM SIGN NI
𒊏      CUNEIFORM SIGN RA
𒊒      CUNEIFORM SIGN RU
𒋗      CUNEIFORM SIGN SHU
𒋢      CUNEIFORM SIGN SU
𒌅      CUNEIFORM SIGN TU
𒌑      CUNEIFORM SIGN U2
𒍑      CUNEIFORM SIGN USH
𒍪      CUNEIFORM SIGN ZU
𝕸      MATHEMATICAL BOLD FRAKTUR CAPITAL M
¨      DIAERESIS
¼      VULGAR FRACTION ONE QUARTER
¾      VULGAR FRACTION THREE QUARTERS
Ç      LATIN CAPITAL LETTER C WITH CEDILLA
ñ      LATIN SMALL LETTER N WITH TILDE
Ć      LATIN CAPITAL LETTER C WITH ACUTE
Č      LATIN CAPITAL LETTER C WITH CARON
ę      LATIN SMALL LETTER E WITH OGONEK
Ğ      LATIN CAPITAL LETTER G WITH BREVE
İ      LATIN CAPITAL LETTER I WITH DOT ABOVE
Ń      LATIN CAPITAL LETTER N WITH ACUTE
Ś      LATIN CAPITAL LETTER S WITH ACUTE
ų      LATIN SMALL LETTER U WITH OGONEK
Ź      LATIN CAPITAL LETTER Z WITH ACUTE
ȝ      LATIN SMALL LETTER YOGH
ɤ      LATIN SMALL LETTER RAMS HORN
ɬ      LATIN SMALL LETTER L WITH BELT
ʕ      LATIN LETTER PHARYNGEAL VOICED FRICATIVE
ʼ      MODIFIER LETTER APOSTROPHE
ˁ      MODIFIER LETTER REVERSED GLOTTAL STOP
ˇ      CARON
ˌ      MODIFIER LETTER LOW VERTICAL LINE
ˤ      MODIFIER LETTER SMALL REVERSED GLOTTAL STOP
Ώ      GREEK CAPITAL LETTER OMEGA WITH TONOS
ΐ      GREEK SMALL LETTER IOTA WITH DIALYTIKA AND TONOS
ϕ      GREEK PHI SYMBOL
Ђ      CYRILLIC CAPITAL LETTER DJE
Ј      CYRILLIC CAPITAL LETTER JE
Ў      CYRILLIC CAPITAL LETTER SHORT U
Щ      CYRILLIC CAPITAL LETTER SHCHA
Ь      CYRILLIC CAPITAL LETTER SOFT SIGN
ђ      CYRILLIC SMALL LETTER DJE
ѣ      CYRILLIC SMALL LETTER YAT
Қ      CYRILLIC CAPITAL LETTER KA WITH DESCENDER
ӕ      CYRILLIC SMALL LIGATURE A IE
Է      ARMENIAN CAPITAL LETTER EH
ձ      ARMENIAN SMALL LETTER JA
ջ      ARMENIAN SMALL LETTER JHEH
ץ      HEBREW LETTER FINAL TSADI
ـ      ARABIC TATWEEL
چ      ARABIC LETTER TCHEH
ھ      ARABIC LETTER HEH DOACHASHMEE
ۈ      ARABIC LETTER YU
ܓ      SYRIAC LETTER GAMAL
ܗ      SYRIAC LETTER HE
ܚ      SYRIAC LETTER HETH
ܥ      SYRIAC LETTER E
ܨ      SYRIAC LETTER SADHE
ߞ      NKO LETTER KA
ख      DEVANAGARI LETTER KHA
ज      DEVANAGARI LETTER JA
ञ      DEVANAGARI LETTER NYA
ल      DEVANAGARI LETTER LA
व      DEVANAGARI LETTER VA
श      DEVANAGARI LETTER SHA
ष      DEVANAGARI LETTER SSA
ট      BENGALI LETTER TTA
ਨ      GURMUKHI LETTER NA
ਸ      GURMUKHI LETTER SA
ੀ      GURMUKHI VOWEL SIGN II
ભ      GUJARATI LETTER BHA
க      TAMIL LETTER KA
ஜ      TAMIL LETTER JA
ெ      TAMIL VOWEL SIGN E
ต      THAI CHARACTER TO TAO
ม      THAI CHARACTER MO MA
ງ      LAO LETTER NGO
ວ      LAO LETTER WO
ག      TIBETAN LETTER GA
མ      TIBETAN LETTER MA
ზ      GEORGIAN LETTER ZEN
ფ      GEORGIAN LETTER PHAR
შ      GEORGIAN LETTER SHIN
ჯ      GEORGIAN LETTER JHAN
ል      ETHIOPIC SYLLABLE LE
ሥ      ETHIOPIC SYLLABLE SZE
ራ      ETHIOPIC SYLLABLE RAA
ተ      ETHIOPIC SYLLABLE TA
ት      ETHIOPIC SYLLABLE TE
ዶ      ETHIOPIC SYLLABLE DO
ጉ      ETHIOPIC SYLLABLE GU
ፈ      ETHIOPIC SYLLABLE FA
ᐅ      CANADIAN SYLLABICS O
ᐏ      CANADIAN SYLLABICS WEST-CREE WI
ᐗ      CANADIAN SYLLABICS WA
ᐣ      CANADIAN SYLLABICS FINAL RIGHT HALF RING
ᐹ      CANADIAN SYLLABICS PAA
ᑎ      CANADIAN SYLLABICS TI
ᓃ      CANADIAN SYLLABICS NII
ᓐ      CANADIAN SYLLABICS N
ᓗ      CANADIAN SYLLABICS LO
ᔨ      CANADIAN SYLLABICS YI
ᖅ      CANADIAN SYLLABICS Q
ᚹ      RUNIC LETTER WUNJO WYNN W
ᛉ      RUNIC LETTER ALGIZ EOLHX
ᛖ      RUNIC LETTER EHWAZ EH E
ᛚ      RUNIC LETTER LAUKAZ LAGU LOGR L
ḵ      LATIN SMALL LETTER K WITH LINE BELOW
Ṭ      LATIN CAPITAL LETTER T WITH DOT BELOW
ẓ      LATIN SMALL LETTER Z WITH DOT BELOW
ẽ      LATIN SMALL LETTER E WITH TILDE
Ἅ      GREEK CAPITAL LETTER ALPHA WITH DASIA AND OXIA
ἱ      GREEK SMALL LETTER IOTA WITH DASIA
ἶ      GREEK SMALL LETTER IOTA WITH PSILI AND PERISPOMENI
Ἴ      GREEK CAPITAL LETTER IOTA WITH PSILI AND OXIA
ὄ      GREEK SMALL LETTER OMICRON WITH PSILI AND OXIA
ὅ      GREEK SMALL LETTER OMICRON WITH DASIA AND OXIA
Ὁ      GREEK CAPITAL LETTER OMICRON WITH DASIA
ὺ      GREEK SMALL LETTER UPSILON WITH VARIA
ᾍ      GREEK CAPITAL LETTER ALPHA WITH DASIA AND OXIA AND PROSGEGRAMMENI
ῷ      GREEK SMALL LETTER OMEGA WITH PERISPOMENI AND YPOGEGRAMMENI
        ZERO WIDTH NON-JOINER
       NARROW NO-BREAK SPACE
⅛      VULGAR FRACTION ONE EIGHTH
♠      BLACK SPADE SUIT
♦      BLACK DIAMOND SUIT
Ⰽ      GLAGOLITIC CAPITAL LETTER KAKO
Ⱄ      GLAGOLITIC CAPITAL LETTER SLOVO
ⲟ      COPTIC SMALL LETTER O
ⴷ      TIFINAGH LETTER YAD
ⴻ      TIFINAGH LETTER YEY
ⵓ      TIFINAGH LETTER YU
ⵔ      TIFINAGH LETTER YAR
ⵙ      TIFINAGH LETTER YAS
ⵟ      TIFINAGH LETTER YATT
あ      HIRAGANA LETTER A
か      HIRAGANA LETTER KA
き      HIRAGANA LETTER KI
た      HIRAGANA LETTER TA
ち      HIRAGANA LETTER TI
ま      HIRAGANA LETTER MA
み      HIRAGANA LETTER MI
ゃ      HIRAGANA LETTER SMALL YA
ェ      KATAKANA LETTER SMALL E
エ      KATAKANA LETTER E
ケ      KATAKANA LETTER KE
ゲ      KATAKANA LETTER GE
シ      KATAKANA LETTER SI
セ      KATAKANA LETTER SE
ツ      KATAKANA LETTER TU
ニ      KATAKANA LETTER NI
ヌ      KATAKANA LETTER NU
フ      KATAKANA LETTER HU
プ      KATAKANA LETTER PU
ロ      KATAKANA LETTER RO
东      Unknown character in range CJK Unified Ideographs
之      CJK character Nelson  280
乳      CJK character Nelson  266
人      CJK character Nelson  339
侠      CJK character Nelson  445
保      CJK character Nelson  455
元      CJK character Nelson  275
先      CJK character Nelson  571
光      CJK character Nelson 1358
兴      Unknown character in range CJK Unified Ideographs
内      CJK character Nelson   82
切      CJK character Nelson  667
前      CJK character Nelson  595
力      CJK character Nelson  715
助      CJK character Nelson  719
区      CJK character Nelson  757
卧      Unknown character in range CJK Unified Ideographs
友      CJK character Nelson  858
台      CJK character Nelson  848
和      CJK character Nelson 3268
哉      CJK character Nelson  777
哥      CJK character Nelson   56
喷      Unknown character in range CJK Unified Ideographs
園      CJK character Nelson 1047
圣      Unknown character in range CJK Unified Ideographs
基      CJK character Nelson 1098
堀      CJK character Nelson 1095
堂      CJK character Nelson 1365
多      CJK character Nelson 1169,1580
妈      Unknown character in range CJK Unified Ideographs
妓      CJK character Nelson 1194
姐      CJK character Nelson 1202
宁      Unknown character in range CJK Unified Ideographs
宇      CJK character Nelson 1280
宏      CJK character Nelson 1286
宗      CJK character Nelson 1294
局      CJK character Nelson  886,1384
帝      CJK character Nelson  305, 277
師      CJK character Nelson  113
広      CJK character Nelson 1499
庄      CJK character Nelson 1500
张      Unknown character in range CJK Unified Ideographs
張      CJK character Nelson 1570
強      CJK character Nelson 1571,1572
弼      CJK character Nelson 1573
徐      CJK character Nelson 1612
恵      CJK character Nelson 1681
成      CJK character Nelson 1800,1799
所      CJK character Nelson 1821
手      CJK character Nelson 1827
拼      Unknown character in range CJK Unified Ideographs
教      CJK character Nelson 2052
昆      CJK character Nelson 2106
月      CJK character Nelson 2169
朱      CJK character Nelson  184
村      CJK character Nelson 2191
根      CJK character Nelson 2261
楊      CJK character Nelson 2321
次      CJK character Nelson  638
民      CJK character Nelson   25
水      CJK character Nelson 2482
汉      Unknown character in range CJK Unified Ideographs
津      CJK character Nelson 2543
济      Unknown character in range CJK Unified Ideographs
滿      CJK character Nelson 2664
漢      CJK character Nelson 2662,2665
澤      CJK character Nelson 2704
瀬      CJK character Nelson 2735
犬      CJK character Nelson 2868
狸      CJK character Nelson 2887
玉      CJK character Nelson 2923
球      CJK character Nelson 2941
琉      CJK character Nelson 2939
瑟      CJK character Nelson 2953
瑾      CJK character Nelson 2968
百      CJK character Nelson   33
石      CJK character Nelson   28,3176
社      CJK character Nelson 3231
神      CJK character Nelson 3245
福      CJK character Nelson 3256
简      Unknown character in range CJK Unified Ideographs
簡      CJK character Nelson 3444
紀      CJK character Nelson 3497
紫      CJK character Nelson 3534
繁      CJK character Nelson 3598,3596
经      Unknown character in range CJK Unified Ideographs
習      CJK character Nelson 3675
者      CJK character Nelson 3685,3688
股      CJK character Nelson 3739
舞      CJK character Nelson 3862
航      CJK character Nelson 3867
良      CJK character Nelson   36, 190
芭      CJK character Nelson 3903
花      CJK character Nelson 3909
若      CJK character Nelson 3926
英      CJK character Nelson 3927
菊      CJK character Nelson 3981
蔡      Unknown character in range CJK Unified Ideographs
蕉      CJK character Nelson 4048
衎      Unknown character in range CJK Unified Ideographs
表      CJK character Nelson  108
触      CJK character Nelson 4305
記      CJK character Nelson 4318
諱      CJK character Nelson 4397
諸      CJK character Nelson 4393,4395
讀      CJK character Nelson 4375,4450
语      Unknown character in range CJK Unified Ideographs
足      CJK character Nelson 4546
軒      CJK character Nelson 4611
載      CJK character Nelson  789
近      CJK character Nelson 4671
重      CJK character Nelson  224
鎌      CJK character Nelson 4902
阪      CJK character Nelson 4979
阳      Unknown character in range CJK Unified Ideographs
隆      CJK character Nelson 4999,5007
集      CJK character Nelson 5031
雲      CJK character Nelson 5046
音      CJK character Nelson 5110
頼      CJK character Nelson 5129
飾      CJK character Nelson 5161
馬      CJK character Nelson 5191
魔      CJK character Nelson 5398
鲁      Unknown character in range CJK Unified Ideographs
齐      Unknown character in range CJK Unified Ideographs
계      HANGUL SYLLABLE GYE
기      HANGUL SYLLABLE GI
동      HANGUL SYLLABLE DONG
림      HANGUL SYLLABLE LIM
심      HANGUL SYLLABLE SIM
재      HANGUL SYLLABLE JAE
픽      HANGUL SYLLABLE PIG
헌      HANGUL SYLLABLE HEON
𐌰      GOTHIC LETTER AHSA
𐎢      OLD PERSIAN SIGN U
𐡀      Character in undefined range
𐤅      PHOENICIAN LETTER WAU
𐤎      PHOENICIAN LETTER SEMK
𒂗      CUNEIFORM SIGN EN
𒈾      CUNEIFORM SIGN NA
𒊬      CUNEIFORM SIGN SAR
𒌷      CUNEIFORM SIGN URU
Ð      LATIN CAPITAL LETTER ETH
Ý      LATIN CAPITAL LETTER Y WITH ACUTE
Ā      LATIN CAPITAL LETTER A WITH MACRON
ă      LATIN SMALL LETTER A WITH BREVE
Ĳ      LATIN CAPITAL LIGATURE IJ
ń      LATIN SMALL LETTER N WITH ACUTE
ţ      LATIN SMALL LETTER T WITH CEDILLA
ź      LATIN SMALL LETTER Z WITH ACUTE
Ż      LATIN CAPITAL LETTER Z WITH DOT ABOVE
ż      LATIN SMALL LETTER Z WITH DOT ABOVE
ƛ      LATIN SMALL LETTER LAMBDA WITH STROKE
ư      LATIN SMALL LETTER U WITH HORN
ƿ      LATIN LETTER WYNN
ɂ      LATIN SMALL LETTER GLOTTAL STOP
ʣ      LATIN SMALL LETTER DZ DIGRAPH
ʨ      LATIN SMALL LETTER TC DIGRAPH WITH CURL
΄      GREEK TONOS
Η      GREEK CAPITAL LETTER ETA
Ξ      GREEK CAPITAL LETTER XI
Υ      GREEK CAPITAL LETTER UPSILON
Ψ      GREEK CAPITAL LETTER PSI
є      CYRILLIC SMALL LETTER UKRAINIAN IE
ә      CYRILLIC SMALL LETTER SCHWA
ө      CYRILLIC SMALL LETTER BARRED O
Զ      ARMENIAN CAPITAL LETTER ZA
Ծ      ARMENIAN CAPITAL LETTER CA
Ն      ARMENIAN CAPITAL LETTER NOW
է      ARMENIAN SMALL LETTER EH
և      ARMENIAN SMALL LIGATURE ECH YIWN
ף      HEBREW LETTER FINAL PE
ؤ      ARABIC LETTER WAW WITH HAMZA ABOVE
ٹ      ARABIC LETTER TTEH
ܟ      SYRIAC LETTER KAPH
ܠ      SYRIAC LETTER LAMADH
ܦ      SYRIAC LETTER PE
त      DEVANAGARI LETTER TA
भ      DEVANAGARI LETTER BHA
स      DEVANAGARI LETTER SA
ि      DEVANAGARI VOWEL SIGN I
ो      DEVANAGARI VOWEL SIGN O
ক      BENGALI LETTER KA
ਿ      GURMUKHI VOWEL SIGN I
લ      GUJARATI LETTER LA
ச      TAMIL LETTER CA
ன      TAMIL LETTER NNNA
ய      TAMIL LETTER YA
ர      TAMIL LETTER RA
ல      TAMIL LETTER LA
ழ      TAMIL LETTER LLLA
ா      TAMIL VOWEL SIGN AA
ง      THAI CHARACTER NGO NGU
พ      THAI CHARACTER PHO PHAN
ย      THAI CHARACTER YO YAK
ན      TIBETAN LETTER NA
ར      TIBETAN LETTER RA
ძ      GEORGIAN LETTER JIL
መ      ETHIOPIC SYLLABLE MA
ር      ETHIOPIC SYLLABLE RE
አ      ETHIOPIC SYLLABLE GLOTTAL A
ክ      ETHIOPIC SYLLABLE KE
ᑦ      CANADIAN SYLLABICS T
ᚺ      RUNIC LETTER HAGLAZ H
ᛁ      RUNIC LETTER ISAZ IS ISS I
ᛏ      RUNIC LETTER TIWAZ TIR TYR T
ᛟ      RUNIC LETTER OTHALAN ETHEL O
ᠡ      MONGOLIAN LETTER E
ḏ      LATIN SMALL LETTER D WITH LINE BELOW
Ἔ      GREEK CAPITAL LETTER EPSILON WITH PSILI AND OXIA
Ἠ      GREEK CAPITAL LETTER ETA WITH PSILI
Ὀ      GREEK CAPITAL LETTER OMICRON WITH PSILI
ὕ      GREEK SMALL LETTER UPSILON WITH DASIA AND OXIA
ὴ      GREEK SMALL LETTER ETA WITH VARIA
ῳ      GREEK SMALL LETTER OMEGA WITH YPOGEGRAMMENI
        RIGHT-TO-LEFT MARK
♣      BLACK CLUB SUIT
Ⱏ      GLAGOLITIC CAPITAL LETTER YERU
ⵍ      TIFINAGH LETTER YAL
ⵗ      TIFINAGH LETTER TUAREG YAGH
ⵣ      TIFINAGH LETTER YAZ
い      HIRAGANA LETTER I
お      HIRAGANA LETTER O
さ      HIRAGANA LETTER SA
ら      HIRAGANA LETTER RA
ィ      KATAKANA LETTER SMALL I
イ      KATAKANA LETTER I
ガ      KATAKANA LETTER GA
ジ      KATAKANA LETTER ZI
タ      KATAKANA LETTER TA
テ      KATAKANA LETTER TE
デ      KATAKANA LETTER DE
ネ      KATAKANA LETTER NE
ハ      KATAKANA LETTER HA
ピ      KATAKANA LETTER PI
ブ      KATAKANA LETTER BU
二      CJK character Nelson  273
井      CJK character Nelson  165
代      CJK character Nelson  364
俠      CJK character Nelson  445
円      CJK character Nelson  617
北      CJK character Nelson  751,  20
南      CJK character Nelson  778
哈      Unknown character in range CJK Unified Ideographs
嚏      Unknown character in range CJK Unified Ideographs
奈      CJK character Nelson 1174
女      CJK character Nelson 1185
家      CJK character Nelson 1311
尔      Unknown character in range CJK Unified Ideographs
州      CJK character Nelson   99
德      CJK character Nelson 1636,1633
戸      CJK character Nelson 1817
新      CJK character Nelson 2080
晋      CJK character Nelson   55
有      CJK character Nelson 3727
朝      CJK character Nelson 3788
梅      CJK character Nelson 2258
正      CJK character Nelson   27
毛      CJK character Nelson 2473
江      CJK character Nelson 2491
源      CJK character Nelson 2656
漫      CJK character Nelson 2683
由      CJK character Nelson   89
町      CJK character Nelson 2995
知      CJK character Nelson 3169
秋      CJK character Nelson 3273
美      CJK character Nelson 3658
老      CJK character Nelson 3683
聖      CJK character Nelson 2960
臥      CJK character Nelson 3839
自      CJK character Nelson 3841
言      CJK character Nelson 4309
谷      CJK character Nelson 4458
賞      CJK character Nelson 1372
込      CJK character Nelson 4660
連      CJK character Nelson 4702
邊      CJK character Nelson 4753
金      CJK character Nelson 4815
風      CJK character Nelson 5148
高      CJK character Nelson 5247,5248
麒      CJK character Nelson 5380
麟      CJK character Nelson 5383
黒      CJK character Nelson 5403
龙      Unknown character in range CJK Unified Ideographs
𐤃      PHOENICIAN LETTER DELT
𐤉      PHOENICIAN LETTER YOD
𐤔      PHOENICIAN LETTER SHIN
𒀀      CUNEIFORM SIGN A
𒉈      CUNEIFORM SIGN NE
𒌵      CUNEIFORM SIGN URI
Ø      LATIN CAPITAL LETTER O WITH STROKE
ù      LATIN SMALL LETTER U WITH GRAVE
ą      LATIN SMALL LETTER A WITH OGONEK
ħ      LATIN SMALL LETTER H WITH STROKE
į      LATIN SMALL LETTER I WITH OGONEK
ĳ      LATIN SMALL LIGATURE IJ
ř      LATIN SMALL LETTER R WITH CARON
ś      LATIN SMALL LETTER S WITH ACUTE
Ş      LATIN CAPITAL LETTER S WITH CEDILLA
ɫ      LATIN SMALL LETTER L WITH MIDDLE TILDE
ʊ      LATIN SMALL LETTER UPSILON
ʋ      LATIN SMALL LETTER V WITH HOOK
ʲ      MODIFIER LETTER SMALL J
ʿ      MODIFIER LETTER LEFT HALF RING
ˀ      MODIFIER LETTER GLOTTAL STOP
ψ      GREEK SMALL LETTER PSI
ϲ      GREEK LUNATE SIGMA SYMBOL
қ      CYRILLIC SMALL LETTER KA WITH DESCENDER
Խ      ARMENIAN CAPITAL LETTER XEH
Կ      ARMENIAN CAPITAL LETTER KEN
Յ      ARMENIAN CAPITAL LETTER YI
շ      ARMENIAN SMALL LETTER SHA
پ      ARABIC LETTER PEH
ܒ      SYRIAC LETTER BETH
ܛ      SYRIAC LETTER TETH
ण      DEVANAGARI LETTER NNA
ம      TAMIL LETTER MA
ท      THAI CHARACTER THO THAHAN
ร      THAI CHARACTER RO RUA
ล      THAI CHARACTER LO LING
བ      TIBETAN LETTER BA
დ      GEORGIAN LETTER DON
ქ      GEORGIAN LETTER KHAR
ያ      ETHIOPIC SYLLABLE YAA
ᐎ      CANADIAN SYLLABICS WI
ᐧ      CANADIAN SYLLABICS FINAL MIDDLE DOT
ᑐ      CANADIAN SYLLABICS TO
ᑕ      CANADIAN SYLLABICS TA
ᑯ      CANADIAN SYLLABICS KO
ᒃ      CANADIAN SYLLABICS K
ᓄ      CANADIAN SYLLABICS NO
ẗ      LATIN SMALL LETTER T WITH DIAERESIS
Ἐ      GREEK CAPITAL LETTER EPSILON WITH PSILI
Ἑ      GREEK CAPITAL LETTER EPSILON WITH DASIA
ἴ      GREEK SMALL LETTER IOTA WITH PSILI AND OXIA
ὶ      GREEK SMALL LETTER IOTA WITH VARIA
ⴱ      TIFINAGH LETTER YAB
ⴼ      TIFINAGH LETTER YAF
ⵖ      TIFINAGH LETTER YAGH
ア      KATAKANA LETTER A
オ      KATAKANA LETTER O
カ      KATAKANA LETTER KA
キ      KATAKANA LETTER KI
チ      KATAKANA LETTER TI
マ      KATAKANA LETTER MA
モ      KATAKANA LETTER MO
三      CJK character Nelson    8
下      CJK character Nelson    9
中      CJK character Nelson   81
体      CJK character Nelson  405
号      CJK character Nelson  882
司      CJK character Nelson  877
四      CJK character Nelson 1025
士      CJK character Nelson 1160
天      CJK character Nelson   16
姓      CJK character Nelson 1203
川      CJK character Nelson 1447
文      CJK character Nelson 2064
林      CJK character Nelson 2210
氏      CJK character Nelson 2478
洲      CJK character Nelson 2539
爆      CJK character Nelson 2818
珠      CJK character Nelson 2936
生      CJK character Nelson 2991
田      CJK character Nelson 2994
男      CJK character Nelson 2996
画      CJK character Nelson   50,3721
語      CJK character Nelson 4374
諡      CJK character Nelson 4398
路      CJK character Nelson 4561
道      CJK character Nelson 4724
長      CJK character Nelson 4938
體      CJK character Nelson 5245
龍      CJK character Nelson 3351,5440
𐤆      PHOENICIAN LETTER ZAI
𒁺      CUNEIFORM SIGN DU
𒂵      CUNEIFORM SIGN GA
®      REGISTERED SIGN
³      SUPERSCRIPT THREE
ē      LATIN SMALL LETTER E WITH MACRON
ū      LATIN SMALL LETTER U WITH MACRON
ʾ      MODIFIER LETTER RIGHT HALF RING
ј      CYRILLIC SMALL LETTER JE
ў      CYRILLIC SMALL LETTER SHORT U
Տ      ARMENIAN CAPITAL LETTER TIWN
ظ      ARABIC LETTER ZAH
ܣ      SYRIAC LETTER SEMKATH
ड      DEVANAGARI LETTER DDA
द      DEVANAGARI LETTER DA
प      DEVANAGARI LETTER PA
य      DEVANAGARI LETTER YA
ह      DEVANAGARI LETTER HA
ी      DEVANAGARI VOWEL SIGN II
া      BENGALI VOWEL SIGN AA
ก      THAI CHARACTER KO KAI
น      THAI CHARACTER NO NU
เ      THAI CHARACTER SARA E
კ      GEORGIAN LETTER KAN
ስ      ETHIOPIC SYLLABLE SE
ን      ETHIOPIC SYLLABLE NE
ᐠ      CANADIAN SYLLABICS FINAL GRAVE
ᐱ      CANADIAN SYLLABICS PI
ᑭ      CANADIAN SYLLABICS KI
ᒪ      CANADIAN SYLLABICS MA
ᓯ      CANADIAN SYLLABICS SI
ᚨ      RUNIC LETTER ANSUZ A
ḫ      LATIN SMALL LETTER H WITH BREVE BELOW
ἡ      GREEK SMALL LETTER ETA WITH DASIA
ᾶ      GREEK SMALL LETTER ALPHA WITH PERISPOMENI
        ZERO WIDTH SPACE
り      HIRAGANA LETTER RI
ド      KATAKANA LETTER DO
リ      KATAKANA LETTER RI
一      CJK character Nelson    1
上      CJK character Nelson  798
公      CJK character Nelson  579
原      CJK character Nelson  825
地      CJK character Nelson 1056
太      CJK character Nelson 1172
夫      CJK character Nelson  164
安      CJK character Nelson 1283
宮      CJK character Nelson 1310
歌      CJK character Nelson 2422
武      CJK character Nelson   51
河      CJK character Nelson 2530
芸      CJK character Nelson 3908
虎      CJK character Nelson 4105
野      CJK character Nelson 4814
香      CJK character Nelson 5188
𐤀      PHOENICIAN LETTER ALF
𐤊      PHOENICIAN LETTER KAF
𒀭      CUNEIFORM SIGN AN
´      ACUTE ACCENT
Í      LATIN CAPITAL LETTER I WITH ACUTE
î      LATIN SMALL LETTER I WITH CIRCUMFLEX
õ      LATIN SMALL LETTER O WITH TILDE
ǔ      LATIN SMALL LETTER U WITH CARON
ɾ      LATIN SMALL LETTER R WITH FISHHOOK
ʌ      LATIN SMALL LETTER TURNED V
Ω      GREEK CAPITAL LETTER OMEGA
ϵ      GREEK LUNATE EPSILON SYMBOL
ћ      CYRILLIC SMALL LETTER TSHE
Լ      ARMENIAN CAPITAL LETTER LIWN
գ      ARMENIAN SMALL LETTER GIM
դ      ARMENIAN SMALL LETTER DA
փ      ARMENIAN SMALL LETTER PIWR
ך      HEBREW LETTER FINAL KAF
گ      ARABIC LETTER GAF
ܡ      SYRIAC LETTER MIM
क      DEVANAGARI LETTER KA
ப      TAMIL LETTER PA
า      THAI CHARACTER SARA AA
ᐃ      CANADIAN SYLLABICS I
ᐦ      CANADIAN SYLLABICS FINAL DOUBLE SHORT VERTICAL STROKES
ᑲ      CANADIAN SYLLABICS KA
ṣ      LATIN SMALL LETTER S WITH DOT BELOW
ἑ      GREEK SMALL LETTER EPSILON WITH DASIA
⅓      VULGAR FRACTION ONE THIRD
ⵎ      TIFINAGH LETTER YAM
