	glyph   name
      1 ܙ	ܙ      SYRIAC LETTER ZAIN
      1 ܩ	ܩ      SYRIAC LETTER QAPH
      1 މ	މ      THAANA LETTER MEEMU
      1 ލ	ލ      THAANA LETTER LAAMU
      1 ߊ	ߊ      NKO LETTER A
      1 ߌ	ߌ      NKO LETTER I
      1 ߐ	ߐ      NKO LETTER O
      1 ߙ	ߙ      NKO LETTER RA
      1 ߣ	ߣ      NKO LETTER NA
      1 अ	अ      DEVANAGARI LETTER A
      1 आ	आ      DEVANAGARI LETTER AA
      1 ई	ई      DEVANAGARI LETTER II
      1 उ	उ      DEVANAGARI LETTER U
      1 ए	ए      DEVANAGARI LETTER E
      1 ङ	ङ      DEVANAGARI LETTER NGA
      1 च	च      DEVANAGARI LETTER CA
      1 ठ	ठ      DEVANAGARI LETTER TTHA
      1 थ	थ      DEVANAGARI LETTER THA
      1 ब	ब      DEVANAGARI LETTER BA
      1 ौ	ौ      DEVANAGARI VOWEL SIGN AU
      1 গ	গ      BENGALI LETTER GA
      1 চ	চ      BENGALI LETTER CA
      1 ঢ	ঢ      BENGALI LETTER DDHA
      1 ত	ত      BENGALI LETTER TA
      1 ম	ম      BENGALI LETTER MA
      1 র	র      BENGALI LETTER RA
      1 ল	ল      BENGALI LETTER LA
      1 ਖ	ਖ      GURMUKHI LETTER KHA
      1 ਘ	ਘ      GURMUKHI LETTER GHA
      1 ਲ	ਲ      GURMUKHI LETTER LA
      1 ઈ	ઈ      GUJARATI LETTER II
      1 ટ	ટ      GUJARATI LETTER TTA
      1 પ	પ      GUJARATI LETTER PA
      1 વ	વ      GUJARATI LETTER VA
      1 ા	ા      GUJARATI VOWEL SIGN AA
      1 அ	அ      TAMIL LETTER A
      1 ட	ட      TAMIL LETTER TTA
      1 ண	ண      TAMIL LETTER NNA
      1 ந	ந      TAMIL LETTER NA
      1 ள	ள      TAMIL LETTER LLA
      1 வ	வ      TAMIL LETTER VA
      1 ை	ை      TAMIL VOWEL SIGN AI
      1 ொ	ொ      TAMIL VOWEL SIGN O
      1 ோ	ோ      TAMIL VOWEL SIGN OO
      1 ం	ం      TELUGU SIGN ANUSVARA
      1 గ	గ      TELUGU LETTER GA
      1 మ	మ      TELUGU LETTER MA
      1 స	స      TELUGU LETTER SA
      1 ు	ు      TELUGU VOWEL SIGN U
      1 ಂ	ಂ      KANNADA SIGN ANUSVARA
      1 ಗ	ಗ      KANNADA LETTER GA
      1 ಮ	ಮ      KANNADA LETTER MA
      1 ಸ	ಸ      KANNADA LETTER SA
      1 ು	ು      KANNADA VOWEL SIGN U
      1 ක	ක      SINHALA LETTER ALPAPRAANA KAYANNA
      1 ඹ	ඹ      SINHALA LETTER AMBA BAYANNA
      1 ළ	ළ      SINHALA LETTER MUURDHAJA LAYANNA
      1 ො	ො      SINHALA VOWEL SIGN KOMBUVA HAA AELA-PILLA
      1 ข	ข      THAI CHARACTER KHO KHAI
      1 ค	ค      THAI CHARACTER KHO KHWAI
      1 ช	ช      THAI CHARACTER CHO CHANG
      1 ญ	ญ      THAI CHARACTER YO YING
      1 บ	บ      THAI CHARACTER BO BAIMAI
      1 ภ	ภ      THAI CHARACTER PHO SAMPHAO
      1 ว	ว      THAI CHARACTER WO WAEN
      1 ศ	ศ      THAI CHARACTER SO SALA
      1 ส	ส      THAI CHARACTER SO SUA
      1 ห	ห      THAI CHARACTER HO HIP
      1 ฯ	ฯ      THAI CHARACTER PAIYANNOI
      1 ะ	ะ      THAI CHARACTER SARA A
      1 ไ	ไ      THAI CHARACTER SARA AI MAIMALAI
      1 ຈ	ຈ      LAO LETTER CO
      1 ນ	ນ      LAO LETTER NO
      1 ມ	ມ      LAO LETTER MO
      1 ລ	ລ      LAO LETTER LO LOOT
      1 ອ	ອ      LAO LETTER O
      1 າ	າ      LAO VOWEL SIGN AA
      1 ຽ	ຽ      LAO SEMIVOWEL SIGN NYO
      1 ເ	ເ      LAO VOWEL SIGN E
      1 ཁ	ཁ      TIBETAN LETTER KHA
      1 ང	ང      TIBETAN LETTER NGA
      1 ཆ	ཆ      TIBETAN LETTER CHA
      1 ཇ	ཇ      TIBETAN LETTER JA
      1 ད	ད      TIBETAN LETTER DA
      1 པ	པ      TIBETAN LETTER PA
      1 ཞ	ཞ      TIBETAN LETTER ZHA
      1 འ	འ      TIBETAN LETTER -A
      1 ཡ	ཡ      TIBETAN LETTER YA
      1 ལ	ལ      TIBETAN LETTER LA
      1 გ	გ      GEORGIAN LETTER GAN
      1 პ	პ      GEORGIAN LETTER PAR
      1 ღ	ღ      GEORGIAN LETTER GHAN
      1 ც	ც      GEORGIAN LETTER CAN
      1 წ	წ      GEORGIAN LETTER CIL
      1 ხ	ხ      GEORGIAN LETTER XAN
      1 ሌ	ሌ      ETHIOPIC SYLLABLE LEE
      1 ሐ	ሐ      ETHIOPIC SYLLABLE HHA
      1 ሕ	ሕ      ETHIOPIC SYLLABLE HHE
      1 ም	ም      ETHIOPIC SYLLABLE ME
      1 ሠ	ሠ      ETHIOPIC SYLLABLE SZA
      1 ሱ	ሱ      ETHIOPIC SYLLABLE SU
      1 ሳ	ሳ      ETHIOPIC SYLLABLE SAA
      1 ቃ	ቃ      ETHIOPIC SYLLABLE QAA
      1 በ	በ      ETHIOPIC SYLLABLE BA
      1 ባ	ባ      ETHIOPIC SYLLABLE BAA
      1 ቤ	ቤ      ETHIOPIC SYLLABLE BEE
      1 ብ	ብ      ETHIOPIC SYLLABLE BE
      1 ቲ	ቲ      ETHIOPIC SYLLABLE TI
      1 ታ	ታ      ETHIOPIC SYLLABLE TAA
      1 ቶ	ቶ      ETHIOPIC SYLLABLE TO
      1 ነ	ነ      ETHIOPIC SYLLABLE NA
      1 ኢ	ኢ      ETHIOPIC SYLLABLE GLOTTAL I
      1 ኤ	ኤ      ETHIOPIC SYLLABLE GLOTTAL EE
      1 ኦ	ኦ      ETHIOPIC SYLLABLE GLOTTAL O
      1 ኩ	ኩ      ETHIOPIC SYLLABLE KU
      1 ዋ	ዋ      ETHIOPIC SYLLABLE WAA
      1 ዑ	ዑ      ETHIOPIC SYLLABLE PHARYNGEAL U
      1 ዒ	ዒ      ETHIOPIC SYLLABLE PHARYNGEAL I
      1 የ	የ      ETHIOPIC SYLLABLE YA
      1 ዬ	ዬ      ETHIOPIC SYLLABLE YEE
      1 ዮ	ዮ      ETHIOPIC SYLLABLE YO
      1 ደ	ደ      ETHIOPIC SYLLABLE DA
      1 ዲ	ዲ      ETHIOPIC SYLLABLE DI
      1 ገ	ገ      ETHIOPIC SYLLABLE GA
      1 ጋ	ጋ      ETHIOPIC SYLLABLE GAA
      1 ጵ	ጵ      ETHIOPIC SYLLABLE PHE
      1 ጽ	ጽ      ETHIOPIC SYLLABLE TSE
      1 ፋ	ፋ      ETHIOPIC SYLLABLE FAA
      1 Ꮎ	Ꮎ      CHEROKEE LETTER NA
      1 Ꮟ	Ꮟ      CHEROKEE LETTER SI
      1 Ꮤ	Ꮤ      CHEROKEE LETTER TA
      1 ᐋ	ᐋ      CANADIAN SYLLABICS AA
      1 ᐙ	ᐙ      CANADIAN SYLLABICS WAA
      1 ᐤ	ᐤ      CANADIAN SYLLABICS FINAL RING
      1 ᐯ	ᐯ      CANADIAN SYLLABICS PE
      1 ᐲ	ᐲ      CANADIAN SYLLABICS PII
      1 ᑌ	ᑌ      CANADIAN SYLLABICS TE
      1 ᑖ	ᑖ      CANADIAN SYLLABICS TAA
      1 ᑫ	ᑫ      CANADIAN SYLLABICS KE
      1 ᑿ	ᑿ      CANADIAN SYLLABICS WEST-CREE KWA
      1 ᒋ	ᒋ      CANADIAN SYLLABICS CI
      1 ᒥ	ᒥ      CANADIAN SYLLABICS MI
      1 ᒦ	ᒦ      CANADIAN SYLLABICS MII
      1 ᓰ	ᓰ      CANADIAN SYLLABICS SII
      1 ᔅ	ᔅ      CANADIAN SYLLABICS S
      1 ᔑ	ᔑ      CANADIAN SYLLABICS SHI
      1 ᔥ	ᔥ      CANADIAN SYLLABICS SH
      1 ᕈ	ᕈ      CANADIAN SYLLABICS RO
      1 ᕕ	ᕕ      CANADIAN SYLLABICS FI
      1 ᕗ	ᕗ      CANADIAN SYLLABICS FO
      1 ᕙ	ᕙ      CANADIAN SYLLABICS FA
      1 ᕽ	ᕽ      CANADIAN SYLLABICS HK
      1 ᕿ	ᕿ      CANADIAN SYLLABICS QI
      1 ᖃ	ᖃ      CANADIAN SYLLABICS QA
      1 ᖑ	ᖑ      CANADIAN SYLLABICS NGO
      1 ᖕ	ᖕ      CANADIAN SYLLABICS NG
      1 ᚱ	ᚱ      RUNIC LETTER RAIDO RAD REID R
      1 ᚲ	ᚲ      RUNIC LETTER KAUNA
      1 ᚷ	ᚷ      RUNIC LETTER GEBO GYFU G
      1 ᚾ	ᚾ      RUNIC LETTER NAUDIZ NYD NAUD N
      1 ᛃ	ᛃ      RUNIC LETTER JERAN J
      1 ᛊ	ᛊ      RUNIC LETTER SOWILO S
      1 ᛞ	ᛞ      RUNIC LETTER DAGAZ DAEG D
      1 ᛣ	ᛣ      RUNIC LETTER CALC
      1 ត	ត      KHMER LETTER TA
      1 ប	ប      KHMER LETTER BA
      1 ព	ព      KHMER LETTER PO
      1 ល	ល      KHMER LETTER LO
      1 ᠨ	ᠨ      MONGOLIAN LETTER NA
      1 ᠲ	ᠲ      MONGOLIAN LETTER TA
      1 ᠳ	ᠳ      MONGOLIAN LETTER DA
      1 ᠷ	ᠷ      MONGOLIAN LETTER RA
      1 ᵹ	ᵹ      LATIN SMALL LETTER INSULAR G
      1 ᶞ	ᶞ      MODIFIER LETTER SMALL ETH
      1 ᶢ	ᶢ      MODIFIER LETTER SMALL SCRIPT G
      1 ḇ	ḇ      LATIN SMALL LETTER B WITH LINE BELOW
      1 Ḵ	Ḵ      LATIN CAPITAL LETTER K WITH LINE BELOW
      1 ṇ	ṇ      LATIN SMALL LETTER N WITH DOT BELOW
      1 Ṛ	Ṛ      LATIN CAPITAL LETTER R WITH DOT BELOW
      1 ṛ	ṛ      LATIN SMALL LETTER R WITH DOT BELOW
      1 Ṣ	Ṣ      LATIN CAPITAL LETTER S WITH DOT BELOW
      1 Ṯ	Ṯ      LATIN CAPITAL LETTER T WITH LINE BELOW
      1 ṯ	ṯ      LATIN SMALL LETTER T WITH LINE BELOW
      1 Ẓ	Ẓ      LATIN CAPITAL LETTER Z WITH DOT BELOW
      1 ạ	ạ      LATIN SMALL LETTER A WITH DOT BELOW
      1 ả	ả      LATIN SMALL LETTER A WITH HOOK ABOVE
      1 ẹ	ẹ      LATIN SMALL LETTER E WITH DOT BELOW
      1 ẻ	ẻ      LATIN SMALL LETTER E WITH HOOK ABOVE
      1 ỉ	ỉ      LATIN SMALL LETTER I WITH HOOK ABOVE
      1 ị	ị      LATIN SMALL LETTER I WITH DOT BELOW
      1 ọ	ọ      LATIN SMALL LETTER O WITH DOT BELOW
      1 ỏ	ỏ      LATIN SMALL LETTER O WITH HOOK ABOVE
      1 ụ	ụ      LATIN SMALL LETTER U WITH DOT BELOW
      1 ủ	ủ      LATIN SMALL LETTER U WITH HOOK ABOVE
      1 ἁ	ἁ      GREEK SMALL LETTER ALPHA WITH DASIA
      1 ἅ	ἅ      GREEK SMALL LETTER ALPHA WITH DASIA AND OXIA
      1 ἕ	ἕ      GREEK SMALL LETTER EPSILON WITH DASIA AND OXIA
