	glyph   name
      1 希	希      CJK character Nelson 1470
      1 常	常      CJK character Nelson 1364
      1 幌	幌      CJK character Nelson 1485
      1 年	年      CJK character Nelson  188
      1 幸	幸      CJK character Nelson 1073
      1 床	床      CJK character Nelson 1503
      1 庙	庙      Unknown character in range CJK Unified Ideographs
      1 座	座      CJK character Nelson 1515,1517
      1 庫	庫      CJK character Nelson 1512
      1 庭	庭      CJK character Nelson 1514
      1 庵	庵      CJK character Nelson 1521
      1 康	康      CJK character Nelson 1518
      1 廟	廟      CJK character Nelson 1538
      1 廷	廷      CJK character Nelson 1546
      1 式	式      CJK character Nelson 1556
      1 弓	弓      CJK character Nelson 1560
      1 弟	弟      CJK character Nelson  584
      1 当	当      CJK character Nelson 1359
      1 彦	彦      CJK character Nelson 3347
      1 彰	彰      CJK character Nelson 1593
      1 御	御      CJK character Nelson 1628
      1 徳	徳      CJK character Nelson 1633
      1 心	心      CJK character Nelson 1645
      1 念	念      CJK character Nelson  424
      1 怪	怪      CJK character Nelson 1665
      1 恩	恩      CJK character Nelson 1684
      1 悪	悪      CJK character Nelson   62
      1 情	情      CJK character Nelson 1714
      1 惠	惠      CJK character Nelson 1702
      1 慕	慕      CJK character Nelson 4040
      1 戦	戦      CJK character Nelson 1814,1810
      1 才	才      CJK character Nelson  270
      1 打	打      CJK character Nelson 1829
      1 护	护      Unknown character in range CJK Unified Ideographs
      1 拓	拓      CJK character Nelson 1873
      1 捨	捨      CJK character Nelson 1944
      1 提	提      CJK character Nelson 1967
      1 摩	摩      CJK character Nelson 5392
      1 政	政      CJK character Nelson 2045
      1 故	故      CJK character Nelson 2044
      1 敏	敏      CJK character Nelson 2047
      1 斎	斎      CJK character Nelson 5425
      1 斯	斯      CJK character Nelson 2079
      1 方	方      CJK character Nelson 2082
      1 施	施      CJK character Nelson 2085
      1 早	早      CJK character Nelson 2100
      1 昌	昌      CJK character Nelson 2105
      1 明	明      CJK character Nelson 2110
      1 星	星      CJK character Nelson 2121
      1 映	映      CJK character Nelson 2118
      1 昭	昭      CJK character Nelson 2114
      1 時	時      CJK character Nelson 2126
      1 暗	暗      CJK character Nelson 2154
      1 書	書      CJK character Nelson 3719
      1 會	會      CJK character Nelson  522
      1 朗	朗      CJK character Nelson 3762
      1 札	札      CJK character Nelson 2171
      1 杉	杉      CJK character Nelson 2190
      1 杨	杨      Unknown character in range CJK Unified Ideographs
      1 枝	枝      CJK character Nelson 2211
      1 柱	柱      CJK character Nelson 2236
      1 株	株      CJK character Nelson 2257
      1 栽	栽      CJK character Nelson  781
      1 桂	桂      CJK character Nelson 2253
      1 桜	桜      CJK character Nelson 2256
      1 條	條      CJK character Nelson  492
      1 梦	梦      Unknown character in range CJK Unified Ideographs
      1 橋	橋      CJK character Nelson 2378
      1 歐	歐      CJK character Nelson 2423
      1 死	死      CJK character Nelson 2439
      1 殿	殿      CJK character Nelson  242
      1 母	母      CJK character Nelson 2466
      1 比	比      CJK character Nelson 2470
      1 沅	沅      Unknown character in range CJK Unified Ideographs
      1 沒	沒      Unknown character in range CJK Unified Ideographs
      1 沧	沧      Unknown character in range CJK Unified Ideographs
      1 治	治      CJK character Nelson 2528
      1 泉	泉      CJK character Nelson 3099
      1 波	波      CJK character Nelson 2529
      1 洋	洋      CJK character Nelson 2550
      1 浦	浦      CJK character Nelson 2571
      1 浪	浪      CJK character Nelson 2570
      1 淡	淡      CJK character Nelson 2602
      1 淫	淫      CJK character Nelson 2603
      1 淳	淳      CJK character Nelson 2590
      1 清	清      CJK character Nelson 2605
      1 渤	渤      Unknown character in range CJK Unified Ideographs
      1 港	港      CJK character Nelson 2582,2630
      1 湄	湄      Unknown character in range CJK Unified Ideographs
      1 湖	湖      CJK character Nelson 2628
      1 満	満      CJK character Nelson 2636
      1 满	满      Unknown character in range CJK Unified Ideographs
      1 滨	滨      Unknown character in range CJK Unified Ideographs
      1 澜	澜      Unknown character in range CJK Unified Ideographs
      1 濱	濱      CJK character Nelson 2716
      1 炉	炉      CJK character Nelson 2750
      1 烈	烈      CJK character Nelson 2761
      1 無	無      CJK character Nelson 2773
      1 然	然      CJK character Nelson 2770
      1 燕	燕      CJK character Nelson 4070
      1 爐	爐      CJK character Nelson 2819
      1 爵	爵      CJK character Nelson 2830,2831
      1 爾	爾      CJK character Nelson   69, 575
      1 牛	牛      CJK character Nelson 2852
      1 特	特      CJK character Nelson 2860
      1 狐	狐      CJK character Nelson 2878
      1 狗	狗      CJK character Nelson 2875
      1 獅	獅      CJK character Nelson 2904
      1 獒	獒      Unknown character in range CJK Unified Ideographs
      1 玛	玛      Unknown character in range CJK Unified Ideographs
      1 环	环      Unknown character in range CJK Unified Ideographs
      1 现	现      Unknown character in range CJK Unified Ideographs
      1 珍	珍      CJK character Nelson 2933
      1 理	理      CJK character Nelson 2942
      1 琏	琏      Unknown character in range CJK Unified Ideographs
      1 琼	琼      Unknown character in range CJK Unified Ideographs
      1 璠	璠      Unknown character in range CJK Unified Ideographs
      1 璿	璿      Unknown character in range CJK Unified Ideographs
      1 瓊	瓊      Unknown character in range CJK Unified Ideographs
      1 甘	甘      CJK character Nelson 2988
      1 甫	甫      CJK character Nelson  135
      1 番	番      CJK character Nelson 4811
      1 疊	疊      CJK character Nelson 3017
      1 疑	疑      CJK character Nelson  755
      1 疲	疲      CJK character Nelson 3040
      1 白	白      CJK character Nelson 3095
      1 盆	盆      CJK character Nelson  594
      1 盈	盈      CJK character Nelson 3114
      1 益	益      CJK character Nelson  597
      1 盤	盤      CJK character Nelson 3122
      1 矢	矢      CJK character Nelson 3168
      1 短	短      CJK character Nelson 3172
      1 研	研      CJK character Nelson 3180,3187
      1 祖	祖      CJK character Nelson 3243
      1 祝	祝      CJK character Nelson 3244
      1 祭	祭      CJK character Nelson 3247
      1 秀	秀      CJK character Nelson 3263
      1 秦	秦      CJK character Nelson 3274
      1 穂	穂      CJK character Nelson 3300
      1 穆	穆      Unknown character in range CJK Unified Ideographs
      1 穌	穌      Unknown character in range CJK Unified Ideographs
      1 究	究      CJK character Nelson 3314
      1 空	空      CJK character Nelson 3317
      1 立	立      CJK character Nelson 3343
      1 競	競      CJK character Nelson 3364
      1 竹	竹      CJK character Nelson 3366
      1 竿	竿      CJK character Nelson 3369
      1 笔	笔      Unknown character in range CJK Unified Ideographs
      1 笠	笠      CJK character Nelson 3381
      1 筆	筆      CJK character Nelson 3397
      1 管	管      CJK character Nelson 3416
      1 篠	篠      CJK character Nelson 3428,3440
      1 継	継      CJK character Nelson 3545
      1 綽	綽      CJK character Nelson 3554
      1 緒	緒      CJK character Nelson 3557,3570
      1 纪	纪      Unknown character in range CJK Unified Ideographs
      1 绍	绍      Unknown character in range CJK Unified Ideographs
      1 绰	绰      Unknown character in range CJK Unified Ideographs
      1 置	置      CJK character Nelson 3644
      1 翔	翔      CJK character Nelson 3664
      1 耶	耶      CJK character Nelson 3698
      1 肃	肃      Unknown character in range CJK Unified Ideographs
      1 肇	肇      CJK character Nelson 3723
      1 腹	腹      CJK character Nelson 3800
      1 芬	芬      CJK character Nelson 3901
      1 芹	芹      CJK character Nelson 3899
      1 苏	苏      Unknown character in range CJK Unified Ideographs
      1 苗	苗      CJK character Nelson 3923
      1 茉	茉      Unknown character in range CJK Unified Ideographs
      1 莉	莉      Unknown character in range CJK Unified Ideographs
      1 莊	莊      CJK character Nelson 3943
      1 莫	莫      CJK character Nelson 3954
      1 菜	菜      CJK character Nelson 3982
      1 華	華      CJK character Nelson 3955
      1 葛	葛      CJK character Nelson 3997
      1 蓟	蓟      Unknown character in range CJK Unified Ideographs
      1 蘭	蘭      CJK character Nelson 4091
      1 街	街      CJK character Nelson 1626
      1 袋	袋      CJK character Nelson 4223
      1 裕	裕      CJK character Nelson 4241
      1 製	製      CJK character Nelson 4249
      1 覆	覆      CJK character Nelson 4279
      1 見	見      CJK character Nelson 4284
      1 角	角      CJK character Nelson 4301
      1 解	解      CJK character Nelson 4306
      1 訓	訓      CJK character Nelson 4317
      1 誠	誠      CJK character Nelson 4352,4362
      1 謙	謙      CJK character Nelson 4422
      1 谊	谊      Unknown character in range CJK Unified Ideographs
      1 谟	谟      Unknown character in range CJK Unified Ideographs
      1 谥	谥      Unknown character in range CJK Unified Ideographs
      1 豊	豊      CJK character Nelson 4466
      1 豬	豬      Unknown character in range CJK Unified Ideographs
      1 責	責      CJK character Nelson 4492
      1 贾	贾      Unknown character in range CJK Unified Ideographs
      1 赤	赤      CJK character Nelson 4534
      1 赦	赦      CJK character Nelson 4536
      1 赫	赫      CJK character Nelson 4537
      1 赵	赵      Unknown character in range CJK Unified Ideographs
      1 越	越      CJK character Nelson 4542
      1 趙	趙      Unknown character in range CJK Unified Ideographs
      1 軍	軍      CJK character Nelson  628
      1 軽	軽      CJK character Nelson 4620
      1 輔	輔      CJK character Nelson 4626
      1 迩	迩      Unknown character in range CJK Unified Ideographs
      1 迪	迪      Unknown character in range CJK Unified Ideographs
      1 遊	遊      CJK character Nelson 4726
      1 邇	邇      CJK character Nelson 4751
      1 邵	邵      Unknown character in range CJK Unified Ideographs
      1 郑	郑      Unknown character in range CJK Unified Ideographs
      1 部	部      CJK character Nelson 4767
      1 郭	郭      CJK character Nelson 4765
      1 醜	醜      CJK character Nelson 4798
      1 鈞	鈞      CJK character Nelson 4823
      1 鈴	鈴      CJK character Nelson 4837
      1 鎖	鎖      CJK character Nelson 4901
      1 鎧	鎧      CJK character Nelson 4900
      1 鑑	鑑      CJK character Nelson 4924
      1 镇	镇      Unknown character in range CJK Unified Ideographs
      1 間	間      CJK character Nelson 4949
      1 阿	阿      CJK character Nelson 4985
      1 陆	陆      Unknown character in range CJK Unified Ideographs
      1 陇	陇      Unknown character in range CJK Unified Ideographs
      1 限	限      CJK character Nelson 4987
      1 陳	陳      CJK character Nelson 5001
      1 陸	陸      CJK character Nelson 5005
      1 陽	陽      CJK character Nelson 5012
      1 際	際      CJK character Nelson 5018
      1 雄	雄      CJK character Nelson 5030
      1 青	青      CJK character Nelson 5076
      1 韻	韻      CJK character Nelson 5115
      1 额	额      Unknown character in range CJK Unified Ideographs
      1 颱	颱      CJK character Nelson 5149
      1 风	风      Unknown character in range CJK Unified Ideographs
      1 首	首      CJK character Nelson 5186
      1 驢	驢      CJK character Nelson 5233
      1 驴	驴      Unknown character in range CJK Unified Ideographs
      1 鳥	鳥      CJK character Nelson 5340
      1 鳩	鳩      CJK character Nelson 5342
      1 黄	黄      CJK character Nelson 5399
      1 黑	黑      Unknown character in range CJK Unified Ideographs
      1 鼠	鼠      CJK character Nelson 5417
      1 경	경      HANGUL SYLLABLE GYEONG
      1 국	국      HANGUL SYLLABLE GUG
      1 나	나      HANGUL SYLLABLE NA
      1 드	드      HANGUL SYLLABLE DEU
      1 럴	럴      HANGUL SYLLABLE LEOL
      1 린	린      HANGUL SYLLABLE LIN
      1 말	말      HANGUL SYLLABLE MAL
      1 민	민      HANGUL SYLLABLE MIN
      1 박	박      HANGUL SYLLABLE BAG
      1 베	베      HANGUL SYLLABLE BE
      1 서	서      HANGUL SYLLABLE SEO
      1 석	석      HANGUL SYLLABLE SEOG
      1 선	선      HANGUL SYLLABLE SEON
      1 성	성      HANGUL SYLLABLE SEONG
      1 수	수      HANGUL SYLLABLE SU
      1 스	스      HANGUL SYLLABLE SEU
      1 어	어      HANGUL SYLLABLE EO
      1 올	올      HANGUL SYLLABLE OL
      1 윤	윤      HANGUL SYLLABLE YUN
      1 이	이      HANGUL SYLLABLE I
      1 정	정      HANGUL SYLLABLE JEONG
      1 조	조      HANGUL SYLLABLE JO
      1 진	진      HANGUL SYLLABLE JIN
      1 창	창      HANGUL SYLLABLE CANG
      1 키	키      HANGUL SYLLABLE KI
      1 트	트      HANGUL SYLLABLE TEU
      1 패	패      HANGUL SYLLABLE PAE
      1 평	평      HANGUL SYLLABLE PYEONG
      1 필	필      HANGUL SYLLABLE PIL
      1 한	한      HANGUL SYLLABLE HAN
      1 향	향      HANGUL SYLLABLE HYANG
      1 현	현      HANGUL SYLLABLE HYEON
      1 ﬁ	ﬁ      LATIN SMALL LIGATURE FI
      1 ﬂ	ﬂ      LATIN SMALL LIGATURE FL
      1 ﷲ	ﷲ      ARABIC LIGATURE ALLAH ISOLATED FORM
      1 ﺐ	ﺐ      ARABIC LETTER BEH FINAL FORM
      1 ﺣ	ﺣ      ARABIC LETTER HAH INITIAL FORM
      1 ﻠ	ﻠ      ARABIC LETTER LAM MEDIAL FORM
      1 𐀇	𐀇      LINEAR B SYLLABLE B007 DI
      1 𐀒	𐀒      LINEAR B SYLLABLE B070 KO
      1 𐁂	𐁂      LINEAR B SYLLABLE B085 AU
      1 𐁕	𐁕      LINEAR B SYMBOL B049
      1 𐆖	𐆖      ROMAN DENARIUS SIGN
      1 𐌱	𐌱      GOTHIC LETTER BAIRKAN
      1 𐌳	𐌳      GOTHIC LETTER DAGS
      1 𐌷	𐌷      GOTHIC LETTER HAGL
      1 𐌹	𐌹      GOTHIC LETTER EIS
      1 𐌽	𐌽      GOTHIC LETTER NAUTHS
      1 𐍄	𐍄      GOTHIC LETTER TEIWS
      1 𐎤	𐎤      OLD PERSIAN SIGN KU
      1 𐎽	𐎽      OLD PERSIAN SIGN RU
      1 𐏁	𐏁      OLD PERSIAN SIGN SHA
      1 𐡉	𐡉      Character in undefined range
      1 𐡌	𐡌      Character in undefined range
      1 𐡓	𐡓      Character in undefined range
      1 𐤄	𐤄      PHOENICIAN LETTER HE
      1 𐤑	𐤑      PHOENICIAN LETTER SADE
      1 𒀝	𒀝      CUNEIFORM SIGN AK
      1 𒃶	𒃶      CUNEIFORM SIGN GAN
      1 𒄀	𒄀      CUNEIFORM SIGN GI
      1 𒄒	𒄒      CUNEIFORM SIGN GISH CROSSING GISH
      1 𒄙	𒄙      CUNEIFORM SIGN GU2 TIMES KAK
      1 𒄠	𒄠      CUNEIFORM SIGN GUD TIMES KUR
      1 𒅖	𒅖      CUNEIFORM SIGN ISH
      1 𒅗	𒅗      CUNEIFORM SIGN KA
      1 𒆳	𒆳      CUNEIFORM SIGN KUR
      1 𒈗	𒈗      CUNEIFORM SIGN LUGAL
      1 𒈠	𒈠      CUNEIFORM SIGN MA
      1 𒈬	𒈬      CUNEIFORM SIGN MU
      1 𒉌	𒉌      CUNEIFORM SIGN NI
      1 𒊏	𒊏      CUNEIFORM SIGN RA
      1 𒊒	𒊒      CUNEIFORM SIGN RU
      1 𒋗	𒋗      CUNEIFORM SIGN SHU
      1 𒋢	𒋢      CUNEIFORM SIGN SU
      1 𒌅	𒌅      CUNEIFORM SIGN TU
      1 𒌑	𒌑      CUNEIFORM SIGN U2
      1 𒍑	𒍑      CUNEIFORM SIGN USH
      1 𒍪	𒍪      CUNEIFORM SIGN ZU
      1 𝕸	𝕸      MATHEMATICAL BOLD FRAKTUR CAPITAL M
      2 ¨	¨      DIAERESIS
      2 ¼	¼      VULGAR FRACTION ONE QUARTER
      2 ¾	¾      VULGAR FRACTION THREE QUARTERS
      2 Ç	Ç      LATIN CAPITAL LETTER C WITH CEDILLA
      2 ñ	ñ      LATIN SMALL LETTER N WITH TILDE
      2 Ć	Ć      LATIN CAPITAL LETTER C WITH ACUTE
      2 Č	Č      LATIN CAPITAL LETTER C WITH CARON
      2 ę	ę      LATIN SMALL LETTER E WITH OGONEK
      2 Ğ	Ğ      LATIN CAPITAL LETTER G WITH BREVE
      2 İ	İ      LATIN CAPITAL LETTER I WITH DOT ABOVE
      2 Ń	Ń      LATIN CAPITAL LETTER N WITH ACUTE
      2 Ś	Ś      LATIN CAPITAL LETTER S WITH ACUTE
      2 ų	ų      LATIN SMALL LETTER U WITH OGONEK
      2 Ź	Ź      LATIN CAPITAL LETTER Z WITH ACUTE
      2 ȝ	ȝ      LATIN SMALL LETTER YOGH
      2 ɤ	ɤ      LATIN SMALL LETTER RAMS HORN
      2 ɬ	ɬ      LATIN SMALL LETTER L WITH BELT
      2 ʕ	ʕ      LATIN LETTER PHARYNGEAL VOICED FRICATIVE
      2 ʼ	ʼ      MODIFIER LETTER APOSTROPHE
      2 ˁ	ˁ      MODIFIER LETTER REVERSED GLOTTAL STOP
      2 ˇ	ˇ      CARON
      2 ˌ	ˌ      MODIFIER LETTER LOW VERTICAL LINE
      2 ˤ	ˤ      MODIFIER LETTER SMALL REVERSED GLOTTAL STOP
      2 Ώ	Ώ      GREEK CAPITAL LETTER OMEGA WITH TONOS
      2 ΐ	ΐ      GREEK SMALL LETTER IOTA WITH DIALYTIKA AND TONOS
      2 ϕ	ϕ      GREEK PHI SYMBOL
      2 Ђ	Ђ      CYRILLIC CAPITAL LETTER DJE
      2 Ј	Ј      CYRILLIC CAPITAL LETTER JE
      2 Ў	Ў      CYRILLIC CAPITAL LETTER SHORT U
      2 Щ	Щ      CYRILLIC CAPITAL LETTER SHCHA
      2 Ь	Ь      CYRILLIC CAPITAL LETTER SOFT SIGN
      2 ђ	ђ      CYRILLIC SMALL LETTER DJE
      2 ѣ	ѣ      CYRILLIC SMALL LETTER YAT
      2 Қ	Қ      CYRILLIC CAPITAL LETTER KA WITH DESCENDER
      2 ӕ	ӕ      CYRILLIC SMALL LIGATURE A IE
      2 Է	Է      ARMENIAN CAPITAL LETTER EH
      2 ձ	ձ      ARMENIAN SMALL LETTER JA
      2 ջ	ջ      ARMENIAN SMALL LETTER JHEH
      2 ץ	ץ      HEBREW LETTER FINAL TSADI
      2 ـ	ـ      ARABIC TATWEEL
      2 چ	چ      ARABIC LETTER TCHEH
      2 ھ	ھ      ARABIC LETTER HEH DOACHASHMEE
      2 ۈ	ۈ      ARABIC LETTER YU
      2 ܓ	ܓ      SYRIAC LETTER GAMAL
      2 ܗ	ܗ      SYRIAC LETTER HE
      2 ܚ	ܚ      SYRIAC LETTER HETH
      2 ܥ	ܥ      SYRIAC LETTER E
      2 ܨ	ܨ      SYRIAC LETTER SADHE
      2 ߞ	ߞ      NKO LETTER KA
      2 ख	ख      DEVANAGARI LETTER KHA
      2 ज	ज      DEVANAGARI LETTER JA
      2 ञ	ञ      DEVANAGARI LETTER NYA
      2 ल	ल      DEVANAGARI LETTER LA
      2 व	व      DEVANAGARI LETTER VA
      2 श	श      DEVANAGARI LETTER SHA
      2 ष	ष      DEVANAGARI LETTER SSA
      2 ট	ট      BENGALI LETTER TTA
      2 ਨ	ਨ      GURMUKHI LETTER NA
      2 ਸ	ਸ      GURMUKHI LETTER SA
      2 ੀ	ੀ      GURMUKHI VOWEL SIGN II
      2 ભ	ભ      GUJARATI LETTER BHA
      2 க	க      TAMIL LETTER KA
      2 ஜ	ஜ      TAMIL LETTER JA
      2 ெ	ெ      TAMIL VOWEL SIGN E
      2 ต	ต      THAI CHARACTER TO TAO
      2 ม	ม      THAI CHARACTER MO MA
      2 ງ	ງ      LAO LETTER NGO
      2 ວ	ວ      LAO LETTER WO
      2 ག	ག      TIBETAN LETTER GA
      2 མ	མ      TIBETAN LETTER MA
      2 ზ	ზ      GEORGIAN LETTER ZEN
      2 ფ	ფ      GEORGIAN LETTER PHAR
      2 შ	შ      GEORGIAN LETTER SHIN
      2 ჯ	ჯ      GEORGIAN LETTER JHAN
      2 ል	ል      ETHIOPIC SYLLABLE LE
      2 ሥ	ሥ      ETHIOPIC SYLLABLE SZE
      2 ራ	ራ      ETHIOPIC SYLLABLE RAA
      2 ተ	ተ      ETHIOPIC SYLLABLE TA
      2 ት	ት      ETHIOPIC SYLLABLE TE
      2 ዶ	ዶ      ETHIOPIC SYLLABLE DO
      2 ጉ	ጉ      ETHIOPIC SYLLABLE GU
      2 ፈ	ፈ      ETHIOPIC SYLLABLE FA
      2 ᐅ	ᐅ      CANADIAN SYLLABICS O
      2 ᐏ	ᐏ      CANADIAN SYLLABICS WEST-CREE WI
      2 ᐗ	ᐗ      CANADIAN SYLLABICS WA
      2 ᐣ	ᐣ      CANADIAN SYLLABICS FINAL RIGHT HALF RING
      2 ᐹ	ᐹ      CANADIAN SYLLABICS PAA
      2 ᑎ	ᑎ      CANADIAN SYLLABICS TI
      2 ᓃ	ᓃ      CANADIAN SYLLABICS NII
      2 ᓐ	ᓐ      CANADIAN SYLLABICS N
      2 ᓗ	ᓗ      CANADIAN SYLLABICS LO
      2 ᔨ	ᔨ      CANADIAN SYLLABICS YI
      2 ᖅ	ᖅ      CANADIAN SYLLABICS Q
      2 ᚹ	ᚹ      RUNIC LETTER WUNJO WYNN W
      2 ᛉ	ᛉ      RUNIC LETTER ALGIZ EOLHX
      2 ᛖ	ᛖ      RUNIC LETTER EHWAZ EH E
      2 ᛚ	ᛚ      RUNIC LETTER LAUKAZ LAGU LOGR L
      2 ḵ	ḵ      LATIN SMALL LETTER K WITH LINE BELOW
      2 Ṭ	Ṭ      LATIN CAPITAL LETTER T WITH DOT BELOW
      2 ẓ	ẓ      LATIN SMALL LETTER Z WITH DOT BELOW
      2 ẽ	ẽ      LATIN SMALL LETTER E WITH TILDE
      2 Ἅ	Ἅ      GREEK CAPITAL LETTER ALPHA WITH DASIA AND OXIA
      2 ἱ	ἱ      GREEK SMALL LETTER IOTA WITH DASIA
      2 ἶ	ἶ      GREEK SMALL LETTER IOTA WITH PSILI AND PERISPOMENI
      2 Ἴ	Ἴ      GREEK CAPITAL LETTER IOTA WITH PSILI AND OXIA
      2 ὄ	ὄ      GREEK SMALL LETTER OMICRON WITH PSILI AND OXIA
      2 ὅ	ὅ      GREEK SMALL LETTER OMICRON WITH DASIA AND OXIA
      2 Ὁ	Ὁ      GREEK CAPITAL LETTER OMICRON WITH DASIA
      2 ὺ	ὺ      GREEK SMALL LETTER UPSILON WITH VARIA
      2 ᾍ	ᾍ      GREEK CAPITAL LETTER ALPHA WITH DASIA AND OXIA AND PROSGEGRAMMENI
      2 ῷ	ῷ      GREEK SMALL LETTER OMEGA WITH PERISPOMENI AND YPOGEGRAMMENI
      2 ‌	        ZERO WIDTH NON-JOINER
      2  	       NARROW NO-BREAK SPACE
      2 ⅛	⅛      VULGAR FRACTION ONE EIGHTH
      2 ♠	♠      BLACK SPADE SUIT
      2 ♦	♦      BLACK DIAMOND SUIT
      2 Ⰽ	Ⰽ      GLAGOLITIC CAPITAL LETTER KAKO
      2 Ⱄ	Ⱄ      GLAGOLITIC CAPITAL LETTER SLOVO
      2 ⲟ	ⲟ      COPTIC SMALL LETTER O
      2 ⴷ	ⴷ      TIFINAGH LETTER YAD
      2 ⴻ	ⴻ      TIFINAGH LETTER YEY
      2 ⵓ	ⵓ      TIFINAGH LETTER YU
      2 ⵔ	ⵔ      TIFINAGH LETTER YAR
      2 ⵙ	ⵙ      TIFINAGH LETTER YAS
      2 ⵟ	ⵟ      TIFINAGH LETTER YATT
      2 あ	あ      HIRAGANA LETTER A
      2 か	か      HIRAGANA LETTER KA
      2 き	き      HIRAGANA LETTER KI
      2 た	た      HIRAGANA LETTER TA
      2 ち	ち      HIRAGANA LETTER TI
      2 ま	ま      HIRAGANA LETTER MA
      2 み	み      HIRAGANA LETTER MI
      2 ゃ	ゃ      HIRAGANA LETTER SMALL YA
      2 ェ	ェ      KATAKANA LETTER SMALL E
      2 エ	エ      KATAKANA LETTER E
      2 ケ	ケ      KATAKANA LETTER KE
      2 ゲ	ゲ      KATAKANA LETTER GE
      2 シ	シ      KATAKANA LETTER SI
      2 セ	セ      KATAKANA LETTER SE
      2 ツ	ツ      KATAKANA LETTER TU
      2 ニ	ニ      KATAKANA LETTER NI
      2 ヌ	ヌ      KATAKANA LETTER NU
      2 フ	フ      KATAKANA LETTER HU
      2 プ	プ      KATAKANA LETTER PU
      2 ロ	ロ      KATAKANA LETTER RO
      2 东	东      Unknown character in range CJK Unified Ideographs
      2 之	之      CJK character Nelson  280
      2 乳	乳      CJK character Nelson  266
      2 人	人      CJK character Nelson  339
      2 侠	侠      CJK character Nelson  445
      2 保	保      CJK character Nelson  455
      2 元	元      CJK character Nelson  275
      2 先	先      CJK character Nelson  571
      2 光	光      CJK character Nelson 1358
      2 兴	兴      Unknown character in range CJK Unified Ideographs
      2 内	内      CJK character Nelson   82
      2 切	切      CJK character Nelson  667
      2 前	前      CJK character Nelson  595
      2 力	力      CJK character Nelson  715
      2 助	助      CJK character Nelson  719
      2 区	区      CJK character Nelson  757
      2 卧	卧      Unknown character in range CJK Unified Ideographs
      2 友	友      CJK character Nelson  858
      2 台	台      CJK character Nelson  848
      2 和	和      CJK character Nelson 3268
      2 哉	哉      CJK character Nelson  777
      2 哥	哥      CJK character Nelson   56
      2 喷	喷      Unknown character in range CJK Unified Ideographs
      2 園	園      CJK character Nelson 1047
      2 圣	圣      Unknown character in range CJK Unified Ideographs
      2 基	基      CJK character Nelson 1098
      2 堀	堀      CJK character Nelson 1095
      2 堂	堂      CJK character Nelson 1365
      2 多	多      CJK character Nelson 1169,1580
      2 妈	妈      Unknown character in range CJK Unified Ideographs
      2 妓	妓      CJK character Nelson 1194
      2 姐	姐      CJK character Nelson 1202
      2 宁	宁      Unknown character in range CJK Unified Ideographs
      2 宇	宇      CJK character Nelson 1280
      2 宏	宏      CJK character Nelson 1286
      2 宗	宗      CJK character Nelson 1294
      2 局	局      CJK character Nelson  886,1384
      2 帝	帝      CJK character Nelson  305, 277
      2 師	師      CJK character Nelson  113
      2 広	広      CJK character Nelson 1499
      2 庄	庄      CJK character Nelson 1500
      2 张	张      Unknown character in range CJK Unified Ideographs
      2 張	張      CJK character Nelson 1570
      2 強	強      CJK character Nelson 1571,1572
      2 弼	弼      CJK character Nelson 1573
      2 徐	徐      CJK character Nelson 1612
      2 恵	恵      CJK character Nelson 1681
      2 成	成      CJK character Nelson 1800,1799
      2 所	所      CJK character Nelson 1821
      2 手	手      CJK character Nelson 1827
      2 拼	拼      Unknown character in range CJK Unified Ideographs
      2 教	教      CJK character Nelson 2052
      2 昆	昆      CJK character Nelson 2106
      2 月	月      CJK character Nelson 2169
      2 朱	朱      CJK character Nelson  184
      2 村	村      CJK character Nelson 2191
      2 根	根      CJK character Nelson 2261
      2 楊	楊      CJK character Nelson 2321
      2 次	次      CJK character Nelson  638
      2 民	民      CJK character Nelson   25
      2 水	水      CJK character Nelson 2482
      2 汉	汉      Unknown character in range CJK Unified Ideographs
      2 津	津      CJK character Nelson 2543
      2 济	济      Unknown character in range CJK Unified Ideographs
      2 滿	滿      CJK character Nelson 2664
      2 漢	漢      CJK character Nelson 2662,2665
      2 澤	澤      CJK character Nelson 2704
      2 瀬	瀬      CJK character Nelson 2735
      2 犬	犬      CJK character Nelson 2868
      2 狸	狸      CJK character Nelson 2887
      2 玉	玉      CJK character Nelson 2923
      2 球	球      CJK character Nelson 2941
      2 琉	琉      CJK character Nelson 2939
      2 瑟	瑟      CJK character Nelson 2953
      2 瑾	瑾      CJK character Nelson 2968
      2 百	百      CJK character Nelson   33
      2 石	石      CJK character Nelson   28,3176
      2 社	社      CJK character Nelson 3231
      2 神	神      CJK character Nelson 3245
      2 福	福      CJK character Nelson 3256
      2 简	简      Unknown character in range CJK Unified Ideographs
      2 簡	簡      CJK character Nelson 3444
      2 紀	紀      CJK character Nelson 3497
      2 紫	紫      CJK character Nelson 3534
      2 繁	繁      CJK character Nelson 3598,3596
      2 经	经      Unknown character in range CJK Unified Ideographs
      2 習	習      CJK character Nelson 3675
      2 者	者      CJK character Nelson 3685,3688
      2 股	股      CJK character Nelson 3739
      2 舞	舞      CJK character Nelson 3862
      2 航	航      CJK character Nelson 3867
      2 良	良      CJK character Nelson   36, 190
      2 芭	芭      CJK character Nelson 3903
      2 花	花      CJK character Nelson 3909
      2 若	若      CJK character Nelson 3926
      2 英	英      CJK character Nelson 3927
      2 菊	菊      CJK character Nelson 3981
      2 蔡	蔡      Unknown character in range CJK Unified Ideographs
      2 蕉	蕉      CJK character Nelson 4048
